CASENUM,VEH_NO,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,PSUSTRAT,WEIGHT
201700466126,2,1,66,1757,66,1,5,1,0,10,4,30,14,0,2,0,35,999,35999,49,2015,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,8,12,0,0,0,777777777777,777777777777,777777777777,1,17.78515605
201700466126,3,1,66,1757,66,1,5,1,0,10,4,30,14,0,2,0,23,999,23999,49,2011,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,5,8,8,12,0,0,0,777777777777,777777777777,777777777777,1,17.78515605
201700466733,2,4,24,172,24,2,10,1,0,11,99,99,14,0,2,0,2,404,2404,14,2017,1C4PJLDB9HW5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,8,5,12,0,0,0,777777777777,777777777777,777777777777,24,198.43738626
201700467804,2,4,56,206,206,1,2,1,0,12,14,35,18,0,2,0,12,401,12401,14,2000,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,19,0,0,0,777777777777,777777777777,777777777777,20,27.561244315
201700468114,2,1,31,1709,31,1,10,1,0,12,18,19,14,0,2,0,7,399,7399,4,2007,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,8,12,0,0,0,777777777777,777777777777,777777777777,2,216.86480122
201700468958,2,1,31,1709,31,1,9,1,1,12,23,52,14,0,2,0,63,399,63399,4,2012,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,8,12,0,0,0,777777777777,777777777777,777777777777,2,159.59502612
201700468987,2,1,31,1709,31,1,8,1,0,12,19,39,14,0,2,0,35,399,35399,4,2017,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,8,12,0,0,0,777777777777,777777777777,777777777777,2,127.81258953
201700469131,2,4,56,206,206,1,9,1,0,11,10,10,14,0,2,0,48,399,48399,9,2008,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,20,180.37024724
201700469165,2,4,56,206,206,1,10,1,0,9,99,99,14,0,2,0,59,38,59038,5,2015,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,4,5,12,0,0,0,777777777777,777777777777,777777777777,20,242.7184756
201700469703,1,1,80,1800,80,1,10,1,0,12,15,55,14,0,2,0,63,399,63399,4,2016,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,8,12,0,0,0,777777777777,777777777777,777777777777,2,215.94887348
201700470493,1,1,13,1197,13,1,6,1,2,9,10,48,14,0,3,0,55,399,55399,9,2016,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,777777777777,777777777777,777777777777,3,464.14589266
201700470496,2,1,13,1197,13,1,10,1,1,10,19,21,14,0,2,0,49,32,49032,9,2016,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,777777777777,777777777777,777777777777,3,465.2292819
