YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1987,2,10079,1,2,2,2,1,1,3,4,2,3,1986,2,2
1987,1,10080,2,2,2,1,2,2,3,4,2,3,1974,2,2
1987,1,10081,1,2,2,2,1,1,3,4,1,3,1978,2,2
1987,2,10081,2,2,2,2,1,1,3,4,2,3,1974,2,2
1987,1,10082,1,2,2,2,1,1,3,4,2,3,1978,2,2
1987,2,10082,6,2,2,2,1,1,3,4,2,3,1975,2,2
1987,1,10083,2,2,2,1,2,2,3,4,1,3,1982,2,2
1987,1,10084,1,1,1,1,1,1,3,4,2,3,1972,2,1
1987,1,10085,1,2,2,2,1,1,3,4,1,3,1985,2,2
1987,1,10086,2,2,2,2,1,1,3,4,1,3,1985,2,2
1987,1,10087,2,1,1,1,1,1,3,4,1,3,1980,2,2
1987,1,10088,1,1,1,1,2,2,3,4,1,3,1975,2,2
1987,1,10089,1,5,5,2,1,1,3,4,2,3,1986,2,2
1987,2,10089,1,2,2,2,2,2,3,4,2,3,1978,2,2
1987,1,10090,1,2,2,1,1,1,3,4,2,3,1980,2,2
1987,1,10091,6,2,2,2,1,1,3,4,2,3,1980,2,2
1987,2,10091,6,4,4,2,1,1,3,4,2,3,1973,2,2
1987,1,10092,1,2,2,2,1,1,3,4,2,3,1977,2,2
1987,2,10092,1,2,2,2,1,1,3,4,1,3,1977,2,2
1987,1,10093,1,2,2,1,1,1,3,4,1,3,1974,2,2
1987,1,10094,9,2,2,1,1,1,3,4,2,3,9999,2,2
1987,1,10095,2,3,3,2,1,1,3,4,1,3,1979,2,2
1987,2,10095,1,2,2,2,1,1,3,4,2,3,1977,2,2
1987,1,10096,6,2,2,1,1,1,3,4,2,3,1979,2,2
1987,1,10097,2,4,4,2,3,3,3,4,2,3,1977,2,2
1987,2,10097,1,2,2,2,2,2,3,4,1,3,1980,2,2
1987,1,10098,1,2,2,2,1,1,3,4,2,3,1981,2,2
1987,2,10098,1,2,2,2,1,1,3,4,2,3,1985,2,2
1987,1,10099,2,2,2,2,1,1,3,4,2,3,1984,2,2
1987,1,10100,6,4,4,2,1,1,3,4,2,3,1979,2,2
1987,2,10100,1,6,6,2,1,1,3,4,2,3,1981,2,2
1987,1,10101,2,2,2,2,1,1,3,4,2,3,1986,2,2
1987,1,10102,1,2,2,2,2,2,3,4,2,3,1972,2,2
1987,2,10102,1,2,2,2,1,1,3,4,2,3,1980,2,2
1987,1,10103,1,2,2,2,1,1,3,4,2,3,1977,2,2
1987,1,10104,1,5,5,2,1,1,3,4,1,3,1978,2,2
1987,1,10105,2,2,2,2,1,1,3,4,2,3,1986,2,2
1987,1,10106,1,2,2,2,1,1,3,4,2,3,1986,2,2
1987,2,10106,1,2,2,2,1,1,3,4,2,3,1979,2,2
1987,1,10107,1,2,2,2,1,1,3,4,2,3,1977,2,2
1987,2,10107,2,2,2,2,2,2,3,4,1,3,1979,2,2
1987,1,10108,1,2,2,2,1,1,3,4,1,3,1978,2,2
1987,1,10109,9,6,6,2,1,1,3,4,2,3,9999,2,2
1987,1,10110,4,2,2,2,1,1,3,4,2,3,1983,2,2
1987,2,10110,1,6,7,1,1,1,3,4,1,3,1983,2,2
1987,1,10111,2,2,2,2,1,1,3,4,2,3,1973,2,2
1987,1,10112,1,2,2,2,1,1,3,4,2,3,1984,2,2
1987,1,10113,1,2,2,1,1,1,3,4,1,3,1983,2,2
1987,1,10114,1,2,2,2,1,1,3,4,1,3,1979,2,2
1987,2,10114,1,4,4,2,1,1,3,4,2,3,1975,2,2
1987,1,10115,1,2,2,2,2,2,3,4,1,3,1975,2,2
1987,2,10115,1,2,2,2,1,1,3,4,2,3,1983,2,2
1987,1,10116,1,2,2,2,1,1,3,4,1,3,1983,2,2
1987,1,10117,1,2,2,2,1,1,3,4,2,3,1981,2,2
1987,2,10117,1,2,2,2,1,1,3,4,2,3,1978,2,2
1987,1,10118,1,2,2,2,1,1,3,4,2,3,1986,2,2
1987,1,10119,1,1,1,1,1,1,3,4,1,3,1981,2,2
1987,1,10120,8,2,2,2,1,1,3,4,1,3,1981,2,2
1987,2,10120,6,4,4,2,1,1,3,4,2,3,1977,2,2
1987,1,10121,1,2,2,2,1,1,3,4,2,3,1985,2,2
1987,2,10121,1,7,7,2,1,1,3,4,2,3,1981,2,2
1987,3,10121,1,2,2,2,1,1,3,4,2,3,1978,2,2
1987,1,10122,1,2,2,1,1,1,3,4,2,3,1976,2,2
1987,2,10122,1,2,2,2,1,1,3,4,2,3,1986,2,2
1987,1,10123,1,2,2,2,2,2,3,4,1,3,1981,2,2
1987,2,10123,6,7,7,2,1,1,3,4,2,3,1984,2,2
1987,1,10124,1,2,2,1,1,1,3,4,1,3,1984,2,2
1987,1,10125,1,2,2,2,1,1,3,4,2,3,1975,2,2
1987,1,10126,1,2,2,2,2,2,3,4,1,3,1973,2,2
1987,2,10126,2,2,2,2,1,1,3,4,2,3,1976,2,2
1987,3,10126,1,2,2,2,1,1,3,4,2,3,1982,2,2
1987,1,10127,1,2,2,1,2,2,3,4,2,3,1980,2,2
1987,1,10128,1,2,2,2,1,1,3,4,2,3,1971,2,2
1987,2,10128,2,5,5,2,1,1,3,4,2,3,1980,2,2
1987,1,10129,6,2,2,2,1,1,3,4,1,3,1977,2,2
1987,2,10129,6,4,4,2,2,2,3,4,2,3,1980,2,2
1987,1,10130,1,5,5,2,1,1,3,4,1,3,1985,2,2
1987,1,10131,6,4,4,2,3,3,3,4,2,3,1981,2,2
1987,2,10131,6,2,2,2,1,1,3,4,1,3,1980,2,2
1987,1,10132,1,2,2,1,1,1,3,4,1,3,1973,2,2
1987,1,10133,1,2,2,1,1,1,3,4,2,3,1977,2,2
1987,1,10134,1,2,2,1,1,1,3,4,2,3,1977,2,2
1987,1,10135,1,2,2,1,1,1,3,4,1,3,1985,2,2
1987,1,10136,1,2,2,2,1,1,3,4,2,3,1985,2,2
1987,2,10136,1,2,2,2,1,1,3,4,2,3,1981,2,2
1987,1,10137,2,2,2,1,1,1,3,4,2,3,1985,2,1
1987,1,10138,6,2,2,2,1,1,3,4,2,3,1980,2,2
1987,2,10138,6,2,2,2,1,1,3,4,2,3,1977,2,2
1987,1,10139,1,2,2,1,1,1,3,4,1,3,1985,2,2
1987,1,10140,6,2,2,2,1,1,3,4,2,3,1976,2,2
1987,2,10140,2,2,2,2,1,1,3,4,2,3,1985,2,2
1987,1,10141,1,2,2,2,1,1,3,4,1,3,1982,2,2
1987,1,10142,3,2,2,1,1,1,3,4,1,3,1985,2,2
1987,1,10143,2,3,3,1,1,1,3,4,1,3,1986,2,2
1987,1,10144,2,1,1,1,1,1,3,4,1,3,1982,2,2
1987,1,10145,1,2,2,2,1,1,3,4,2,3,1979,2,2
1987,2,10145,1,2,2,2,1,1,3,4,2,3,1980,2,2
1987,1,10146,1,2,2,2,1,1,3,4,2,3,1977,2,2
1987,2,10146,6,2,2,2,1,1,3,4,2,3,1984,2,2
1987,1,10147,1,2,3,2,1,1,3,4,1,3,1986,2,2
1987,1,10148,1,2,2,2,3,3,3,4,1,3,1982,2,2
1987,2,10148,6,2,2,2,1,1,3,4,1,3,1986,2,2
1987,1,10149,2,2,2,2,1,1,3,4,1,3,1978,2,2
1987,2,10149,1,2,2,2,1,1,3,4,2,3,1985,2,2
1987,1,10150,2,2,2,1,1,1,3,4,2,3,1972,2,1
1987,1,10151,6,2,2,2,1,1,3,4,2,3,1987,2,2
1987,1,10152,2,2,2,2,1,1,3,4,2,3,1987,2,2
1987,1,10153,1,2,2,2,1,1,3,4,2,3,1985,2,1
1987,1,10154,1,2,2,2,1,1,3,4,2,3,1973,2,2
1987,2,10154,1,2,2,2,2,2,3,4,2,3,1987,1,2
1987,1,10155,1,2,2,2,1,1,3,4,2,3,1981,2,2
1987,2,10155,6,2,2,2,1,1,3,4,2,3,1985,2,2
1987,1,10156,1,2,2,2,1,1,3,4,2,3,1983,2,2
1987,1,10157,1,1,1,1,2,2,3,4,2,3,1975,1,2
1987,1,10158,1,2,2,2,2,2,3,4,2,3,1980,2,2
1987,1,10159,1,2,2,2,1,1,3,4,2,3,1970,2,2
1987,1,10160,1,2,2,1,2,2,3,4,1,3,1977,2,2
1987,1,10161,1,2,2,2,1,1,3,4,2,3,1979,2,2
1987,2,10161,1,2,2,2,1,1,3,4,1,3,1988,2,2
1987,1,10162,1,2,2,1,1,1,3,4,1,3,1984,2,2
1987,1,10163,6,2,2,1,1,1,3,4,2,3,1952,2,2
1987,1,10164,1,2,2,1,1,1,3,4,1,3,1984,2,2
