CASENUM,VEH_NO,PER_NO,PSU,PJ,STRATUM,NMIMPAIR,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600087939,0,1,28,432,2,98,1,3,11,28,26.308637204
201600088017,0,1,28,432,10,98,1,3,11,28,263.71619676
201600088080,0,1,28,432,3,98,1,3,11,28,28.388474874
201600088981,0,1,59,505,2,98,1,3,10,59,40.571280897
201600089877,0,1,59,505,2,99,1,3,10,59,40.571280897
201600090390,0,1,12,457,2,98,1,3,12,12,26.183018048
201600090584,0,1,12,457,2,98,1,3,12,12,26.183018048
201600090847,0,1,12,457,2,98,1,3,12,12,26.183018048
201600090956,0,1,12,457,2,98,1,3,12,12,26.183018048
201600091131,0,1,12,457,2,98,1,3,12,12,26.183018048
201600091808,0,1,59,503,2,98,1,3,10,59,40.571280897
201600092953,0,1,78,466,2,98,1,3,10,78,28.205634142
201600093009,0,1,78,466,2,98,1,3,10,78,28.205634142
201600093073,0,1,78,466,2,98,1,3,10,78,28.205634142
201600093221,0,1,12,457,2,98,1,3,12,12,26.183018048
201600093275,0,1,12,457,2,98,1,3,12,12,26.183018048
201600093362,0,1,12,457,2,98,1,3,12,12,26.183018048
201600093562,0,1,12,457,2,98,1,3,12,12,26.183018048
201600093629,0,1,12,457,2,98,1,3,12,12,26.183018048
201600093664,0,1,12,457,2,98,1,3,12,12,26.183018048
201600093757,0,1,12,457,2,98,1,3,12,12,26.183018048
201600093807,0,1,12,457,2,98,1,3,12,12,26.183018048
201600093864,0,1,12,457,2,98,1,3,12,12,26.183018048
201600093934,0,1,12,457,2,0,1,3,12,12,26.183018048
201600094148,0,1,12,457,2,98,1,3,12,12,26.183018048
201600094499,0,1,12,457,2,98,1,3,12,12,26.183018048
201600094623,0,1,12,457,2,98,1,3,12,12,26.183018048
201600094953,0,1,78,454,2,98,1,3,10,78,28.205634142
201600095482,0,1,78,454,2,0,1,3,10,78,28.205634142
201600095903,0,1,59,503,2,98,1,3,10,59,40.571280897
201600096183,0,1,12,455,2,98,1,3,12,12,26.183018048
201600096240,0,1,12,455,2,98,1,3,12,12,26.183018048
201600096293,0,1,12,455,2,98,1,3,12,12,26.183018048
201600096912,0,1,12,455,2,98,1,3,12,12,26.183018048
201600097230,0,1,12,455,2,98,1,3,12,12,26.183018048
201600097330,0,1,12,455,2,98,1,3,12,12,26.183018048
201600097472,0,1,12,455,2,0,1,3,12,12,26.183018048
201600097630,0,1,12,455,2,98,1,3,12,12,26.183018048
201600097721,0,1,12,455,2,98,1,3,12,12,26.183018048
201600097808,0,1,12,455,2,98,1,3,12,12,26.183018048
201600097985,0,1,12,455,2,98,1,3,12,12,26.183018048
201600098202,0,1,12,455,2,98,1,3,12,12,26.183018048
201600098202,0,2,12,455,2,98,1,3,12,12,26.183018048
201600098354,0,1,12,455,2,98,1,3,12,12,26.183018048
201600098451,0,1,12,455,2,98,1,3,12,12,26.183018048
201600098574,0,1,12,455,2,98,1,3,12,12,26.183018048
201600098681,0,1,12,455,2,98,1,3,12,12,26.183018048
201600098878,0,1,12,455,2,98,1,3,12,12,26.183018048
201600099165,0,1,78,464,2,98,1,3,10,78,28.205634142
201600099460,0,1,78,464,2,98,1,3,10,78,28.205634142
201600099635,0,1,78,464,2,98,1,3,10,78,28.205634142
201600100042,0,1,78,464,2,98,1,3,10,78,28.205634142
201600100158,0,1,59,504,2,99,1,3,10,59,40.571280897
201600100844,0,1,59,504,2,98,1,3,10,59,40.571280897
201600101381,0,1,59,504,2,98,1,3,10,59,40.571280897
201600101707,0,1,28,441,2,8,1,3,11,28,26.308637204
201600101825,0,1,28,441,2,98,1,3,11,28,26.308637204
201600102091,0,1,28,441,2,98,1,3,11,28,26.308637204
201600102274,0,1,28,441,2,98,1,3,11,28,26.308637204
201600102637,0,1,28,437,2,98,1,3,11,28,26.308637204
201600102960,0,1,28,437,2,98,1,3,11,28,26.308637204
201600103588,0,1,28,437,2,98,1,3,11,28,26.308637204
201600103833,0,1,28,437,2,98,1,3,11,28,26.308637204
201600104064,0,1,28,437,2,98,1,3,11,28,26.308637204
201600104247,0,1,28,437,2,98,1,3,11,28,26.308637204
201600104751,0,1,28,437,2,98,1,3,11,28,26.308637204
201600105406,0,1,28,437,2,98,1,3,11,28,26.308637204
201600105897,0,1,28,437,2,98,1,3,11,28,26.308637204
201600106534,0,1,28,437,2,98,1,3,11,28,26.308637204
201600106824,0,1,28,437,2,98,1,3,11,28,26.308637204
201600107003,0,1,28,437,2,98,1,3,11,28,26.308637204
201600107661,0,1,28,437,2,98,1,3,11,28,26.308637204
201600107791,0,1,59,500,2,98,1,3,10,59,40.571280898
201600107826,0,1,59,500,2,98,1,3,10,59,40.571280898
201600107987,0,1,59,500,2,98,1,3,10,59,40.571280898
201600108594,0,1,59,500,2,98,1,3,10,59,40.571280898
201600109301,0,1,59,505,3,98,1,3,10,59,39.201707021
201600109308,0,1,59,505,2,98,1,3,10,59,40.571280897
201600110183,0,1,59,505,2,98,1,3,10,59,40.571280897
201600110973,0,1,78,466,2,98,1,3,10,78,28.205634142
201600111454,0,1,78,466,2,98,1,3,10,78,28.205634142
