YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2016,201600016493,23.77303521,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1
2016,201600016502,208.54041791,3,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016551,140.52306969,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016581,139.83639946,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016594,208.54041791,3,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016608,140.52306969,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016637,208.54041791,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016644,52.727176845,2,2,1,2,2,5,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016648,23.77303521,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1
2016,201600016762,139.83639946,2,2,4,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016836,74.143559476,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016851,177.64162702,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016856,322.7347052,3,2,1,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016866,322.7347052,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
