CASENUM,VEH_NO,PSU,PJ,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600025330,2,65,2857,7,1,0,1,9,47,33,0,2,0,49,442,49442,20,2014,5TDKK3DC2ES4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,13,8,9,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,174.05401634
201600025382,2,65,2857,4,1,0,1,18,6,59,0,3,0,30,46,30046,4,2014,1VWAS7A36EC0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,12.94322042
201600025382,3,65,2857,4,1,0,1,18,6,59,0,3,0,35,47,35047,4,2012,1N4AL2APXCN5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,12.94322042
201600025382,4,65,2857,4,1,0,1,18,6,59,0,3,0,19,18,19018,4,2012,1G6DC5E56C01,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,12.94322042
201600025382,5,65,2857,4,1,0,1,18,6,59,0,3,0,37,32,37032,4,2012,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,0,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,12.94322042
201600025674,2,37,3200,10,1,0,1,16,33,14,0,3,0,99,999,99999,99,9999,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,63,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,4,24,37,322.7347052
201600026155,2,65,2851,10,1,0,1,5,0,14,0,2,0,63,34,63034,4,2009,KNAGE2287952,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,268.97048064
201600026337,2,44,378,10,1,0,1,16,33,14,0,2,0,20,404,20404,14,2005,2CNDL73FX561,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,317.68153186
201600026564,2,46,338,10,1,0,1,10,0,14,0,2,0,12,17,12017,4,2007,1FAFP58U97A1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,4,22,46,292.62224233
201600028075,1,22,1262,7,1,0,1,18,11,14,0,2,0,7,442,7442,20,2012,2C4RDGEG4CR3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,1,5,22,162.64597168
201600028511,2,67,1921,2,1,1,1,1,9,14,0,2,0,7,482,7482,31,2005,1D7HU18N75S2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,8,4,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,8,67,25.220769815
201600028772,2,67,1928,7,1,0,1,16,9,14,0,2,0,82,884,82884,66,2006,888888888888,0,77,777777777,77777777777,3,5,96,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,8,67,133.86221215
201600029352,2,45,1283,10,1,0,1,0,16,14,0,2,0,12,402,12402,14,2010,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,3,12,0,0,0,777777777777,777777777777,777777777777,2,2,9,45,242.04135933
201600029701,2,67,1933,7,1,0,1,12,39,14,0,2,0,7,442,7442,20,2003,2D4GP44L03R2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,8,67,133.86221214
201600029802,2,65,2851,10,1,1,1,23,30,14,0,2,0,37,32,37032,4,2009,1HGCP26419A1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,4,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,268.97048064
201600030117,1,47,2034,9,1,0,1,21,13,14,0,2,0,12,461,12461,21,2012,1FTNE2EW0CDA,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,3,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,2,9,47,207.96965168
201600030152,2,47,2034,10,1,0,1,13,27,14,0,2,0,20,37,20037,4,2004,1G1ZS52F64F1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,1,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,2,9,47,290.0455226
201600030178,2,44,388,10,1,0,2,12,36,14,0,2,0,37,31,37031,3,1991,2HGED6342MH5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,317.68153186
201600030376,2,65,2851,10,1,0,1,2,14,59,0,2,0,12,3,12003,2,2009,1ZVHT80N3951,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,268.97048064
201600030376,3,65,2851,10,1,0,1,2,14,59,0,2,0,20,481,20481,31,1963,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,268.97048064
201600030376,4,65,2851,10,1,0,1,2,14,59,0,2,0,49,40,49040,4,2005,4T1BE32K25U6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,6,2,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,268.97048064
201600030638,2,47,2001,9,1,0,1,1,4,14,0,2,0,20,403,20403,14,2004,1GNDT13X14K1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,6,2,12,0,0,0,777777777777,777777777777,777777777777,2,2,9,47,207.96965168
