CASENUM,VEH_NO,PSU,PJ,STRATUM,MDRDSTRD,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600015924,2,27,892,7,0,1,2,6,27,119.83077838
201600015934,1,63,2907,9,0,2,3,16,63,183.80663792
201600015934,2,63,2907,9,99,2,3,16,63,183.80663792
201600015940,1,63,2907,10,0,2,3,16,63,310.40470173
201600015944,1,27,892,5,0,1,2,6,27,24.56993937
201600015944,2,27,892,5,0,1,2,6,27,24.56993937
201600015948,1,44,388,9,0,2,4,25,44,219.79547524
201600015958,1,44,388,8,0,2,4,25,44,186.63475792
201600015960,1,63,2907,6,0,2,3,16,63,63.697534598
201600015960,2,63,2907,6,0,2,3,16,63,63.697534598
201600015967,1,44,388,10,0,2,4,25,44,317.68153186
201600016011,1,63,2907,9,0,2,3,16,63,183.80663792
201600016011,2,63,2907,9,0,2,3,16,63,183.80663792
201600016014,1,70,138,10,98,2,3,16,70,215.218122
201600016014,2,70,138,10,0,2,3,16,70,215.218122
201600016016,1,63,2907,10,0,2,3,16,63,310.40470173
201600016016,2,63,2907,10,0,2,3,16,63,310.40470173
201600016018,1,63,2907,8,0,2,3,16,63,182.43353255
201600016018,2,63,2907,8,0,2,3,16,63,182.43353255
201600016018,3,63,2907,8,0,2,3,16,63,182.43353255
201600016026,1,63,2907,3,0,2,3,16,63,40.555730682
201600016027,1,63,2907,5,0,2,3,16,63,89.222607501
201600016027,2,63,2907,5,0,2,3,16,63,89.222607501
201600016163,1,44,388,10,0,2,4,25,44,317.68153186
201600016163,2,44,388,10,0,2,4,25,44,317.68153186
201600016164,1,65,2883,5,12,1,3,13,65,34.558085527
201600016164,1,65,2883,5,98,1,3,13,65,34.558085527
201600016164,2,65,2883,5,12,1,3,13,65,34.558085527
201600016166,1,65,2883,6,0,1,3,13,65,54.086402528
201600016166,2,65,2883,6,0,1,3,13,65,54.086402528
201600016167,1,65,2883,3,1,1,3,13,65,33.379413655
201600016167,2,65,2883,3,0,1,3,13,65,33.379413655
201600016169,1,65,2881,10,98,1,3,13,65,268.97048065
201600016171,1,65,2881,7,1,1,3,13,65,174.05401633
201600016171,2,65,2881,7,12,1,3,13,65,174.05401633
201600016175,1,65,2881,5,93,1,3,13,65,26.423121005
201600016175,2,65,2881,5,12,1,3,13,65,26.423121005
201600016176,1,65,2881,6,0,1,3,13,65,54.086402526
201600016176,2,65,2881,6,0,1,3,13,65,54.086402526
201600016184,1,65,2881,5,93,1,3,13,65,26.423121005
201600016195,1,44,388,7,0,2,4,25,44,198.91180386
201600016195,2,44,388,7,0,2,4,25,44,198.91180386
201600016200,1,44,388,6,0,2,4,25,44,73.193140876
201600016200,2,44,388,6,0,2,4,25,44,73.193140876
201600016203,1,44,388,9,0,2,4,25,44,219.79547524
201600016215,1,44,388,8,0,2,4,25,44,186.63475792
201600016215,2,44,388,8,0,2,4,25,44,186.63475792
201600016215,3,44,388,8,0,2,4,25,44,186.63475792
201600016218,1,44,388,10,92,2,4,25,44,317.68153186
201600016218,2,44,388,10,0,2,4,25,44,317.68153186
201600016237,1,44,388,9,0,2,4,25,44,219.79547524
201600016237,2,44,388,9,0,2,4,25,44,219.79547524
201600016254,1,44,388,2,0,2,4,25,44,35.950176889
201600016258,1,44,388,6,0,2,4,25,44,73.193140876
201600016258,2,44,388,6,0,2,4,25,44,73.193140876
201600016261,1,44,388,10,0,2,4,25,44,317.68153186
201600016261,2,44,388,10,0,2,4,25,44,317.68153186
201600016301,1,65,2857,8,0,1,3,13,65,139.83639947
