YEAR,STATE,COUNTY,FATALS,ST_CASE,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_RD,A_TOD,A_DOW,A_HR,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_DIST,A_DROWSY
1988,1,27,1,10144,1,4,1,2,4,2,5,2,1,3,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1
1988,1,5,1,10145,1,4,1,2,1,2,5,2,3,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2
1988,1,95,1,10146,1,4,1,2,1,2,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
1988,1,73,1,10147,1,4,1,2,4,2,5,2,1,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
1988,1,97,1,10148,1,4,2,1,1,2,1,2,4,3,1,1,2,3,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2
1988,1,43,1,10149,1,4,1,2,1,2,4,2,3,3,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2
1988,1,73,1,10150,1,4,2,2,3,2,3,2,1,3,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2
1988,1,45,1,10151,1,4,1,2,4,2,5,2,1,3,1,1,2,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2
1988,1,89,1,10152,1,4,2,2,1,2,3,2,1,3,2,1,2,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2
1988,1,89,1,10153,1,4,1,2,1,1,5,1,4,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
1988,1,73,1,10154,1,4,2,1,3,2,1,2,1,3,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,2,2
1988,1,117,1,10155,1,4,1,2,1,2,5,2,3,3,1,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1988,1,117,1,10156,1,4,1,2,1,2,4,3,4,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,2
1988,1,51,1,10157,1,4,1,2,1,2,5,2,1,3,2,1,2,1,2,2,2,1,2,2,2,3,2,2,1,1,2,2,1,2,2
